scenario,month,group_id,origin_region,scope_type,wagon_type,scope_family,workshop,allocated_wagons,total_hh,direct_cost,logistics_cost,unavailability_cost,retention_cost,composite_cost,local_assignment
local_first_heuristic,6,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,PM3,1,14.0,108.0,38.0,12.0,9.5,167.5,0
local_first_heuristic,6,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,10,80.0,950.0,40.0,30.0,30.0,1050.0,1
local_first_heuristic,6,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,9,72.0,792.0,342.0,108.0,72.0,1314.0,0
local_first_heuristic,6,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,4,36.0,280.0,16.0,12.0,12.0,320.0,1
local_first_heuristic,6,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,8,72.0,544.0,304.0,96.0,64.0,1008.0,0
local_first_heuristic,7,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,13,130.0,1170.0,52.0,39.0,39.0,1300.0,1
local_first_heuristic,7,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5,60.0,450.0,20.0,15.0,15.0,500.0,1
local_first_heuristic,7,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,4,160.0,440.0,16.0,12.0,60.0,528.0,1
local_first_heuristic,7,R2-GDU-VRG,R2,GDU-VRG,GDU,VRG,PM2,1,46.0,141.0,4.0,3.0,15.0,163.0,1
local_first_heuristic,7,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,2,60.0,210.0,8.0,6.0,24.0,248.0,1
local_first_heuristic,7,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1,35.0,110.0,4.0,3.0,12.0,129.0,1
local_first_heuristic,7,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4,40.0,344.0,16.0,12.0,32.0,404.0,1
local_first_heuristic,7,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,2,24.0,172.0,8.0,6.0,16.0,202.0,1
local_first_heuristic,7,R3-GDU-VR2,R3,GDU-VR2,GDU,VR2,PM3,1,14.0,108.0,4.0,3.0,9.5,124.5,1
local_first_heuristic,7,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,2,18.0,136.0,8.0,6.0,16.0,166.0,1
local_first_heuristic,7,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,4,32.0,352.0,16.0,12.0,32.0,412.0,1
local_first_heuristic,7,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM3,4,40.0,344.0,152.0,48.0,32.0,576.0,0
local_first_heuristic,7,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,4,160.0,440.0,220.0,72.0,60.0,792.0,0
local_first_heuristic,7,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,2,80.0,220.0,84.0,24.0,30.0,358.0,0
local_first_heuristic,7,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,1,30.0,105.0,55.0,18.0,12.0,190.0,0
local_first_heuristic,7,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM3,7,70.0,602.0,266.0,84.0,56.0,1008.0,0
local_first_heuristic,7,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,5,60.0,430.0,190.0,60.0,40.0,720.0,0
local_first_heuristic,7,R1-GDT-VR2,R1,GDT-VR2,GDT,VR2,PM1,1,12.0,120.0,4.0,3.0,4.5,131.5,1
local_first_heuristic,7,R2-GDT-VR2,R2,GDT-VR2,GDT,VR2,PM3,1,12.0,118.0,38.0,12.0,9.5,177.5,0
local_first_heuristic,7,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,PM1,1,14.0,110.0,4.0,3.0,4.5,121.5,1
local_first_heuristic,7,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,PM1,1,14.0,110.0,45.0,15.0,4.5,174.5,0
local_first_heuristic,7,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,10,80.0,950.0,40.0,30.0,30.0,1050.0,1
local_first_heuristic,7,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM2,1,8.0,75.0,4.0,3.0,3.0,85.0,1
